Canzone,Parola,Conteggio
Alborosie - Volume unico (feat. Caparezza),che,11
Alborosie - Volume unico (feat. Caparezza),un,17
Alborosie - Volume unico (feat. Caparezza),in,12
Alborosie - Volume unico (feat. Caparezza),volume,17
Alborosie - Volume unico (feat. Caparezza),unico,17
Caparezza - Abiura di me,che,18
Caparezza - Abiura di me,mi,12
Caparezza - Abiura di me,a,17
Caparezza - Abiura di me,non,11
Caparezza - Abiura di me,come,12
Caparezza - Abiura di me,di,12
CapaRezza - Annunciatemi al pubblico,al,12
CapaRezza - Annunciatemi al pubblico,di,19
CapaRezza - Annunciatemi al pubblico,con,16
CapaRezza - Annunciatemi al pubblico,che,11
CapaRezza - Annunciatemi al pubblico,mi,11
CapaRezza - Annunciatemi al pubblico,giù,22
Caparezza - Argenti vive,di,16
Caparezza - Argenti vive,le,12
Caparezza - Argenti vive,ma,12
Caparezza - Argenti vive,a,17
Caparezza - Argenti vive,che,15
Caparezza - Argenti vive,filippo,16
Caparezza - Argenti vive,argenti,20
Caparezza - Argenti vive,sono,12
Caparezza - Argenti vive,il,11
Caparezza - Autoipnotica,il,11
Caparezza - Avrai ragione tu (Ritratto),che,25
Caparezza - Avrai ragione tu (Ritratto),e,21
Caparezza - Avrai ragione tu (Ritratto),a,14
Caparezza - Avrai ragione tu (Ritratto),mi,11
Caparezza - Avrai ragione tu (Ritratto),come,15
Caparezza - Avrai ragione tu (Ritratto),il,12
Caparezza - Avrai ragione tu (Ritratto),dicono,19
Caparezza - Avrai ragione tu (Ritratto),bene,18
Caparezza - Avrai ragione tu (Ritratto),va,15
Caparezza - Azzera Pace,ah,18
Caparezza - Azzera Pace,è,11
Caparezza - Azzera Pace,un,19
Caparezza - Azzera Pace,che,20
Caparezza - Azzera Pace,non,12
Caparezza - Azzera Pace,di,13
Caparezza - Azzera Pace,il,17
Caparezza - Azzera Pace,quel,12
Caparezza - Azzera Pace,tipo,12
Caparezza - Bonobo Power,bonobo,12
Caparezza - Bonobo Power,human,17
Caparezza - Bonobo Power,sucks,15
Caparezza - Cacca nello spazio,il,11
Caparezza - Cacca nello spazio,è,13
Caparezza - Cacca nello spazio,spazio,17
Caparezza - Cacca nello spazio,cacca,13
Caparezza - Cacca nello spazio,nello,14
Caparezza - Cammina solo,non,16
Caparezza - Cammina solo,che,16
Caparezza - Cammina solo,se,15
Caparezza - Cammina solo,mi,11
Caparezza - Cammina solo,di,12
Caparezza - Cammina solo,e,14
Caparezza - Cammina solo,al,11
Caparezza - Cammina solo,cammina,16
Caparezza - Cammina solo,solo,16
Caparezza - Campione Dei Novanta,che,11
Caparezza - Campione Dei Novanta,di,14
Caparezza - Campione Dei Novanta,un,15
Caparezza - Campione Dei Novanta,il,12
Caparezza - Campione Dei Novanta,campione,22
Caparezza - Campione Dei Novanta,zero,12
Caparezza - Campione Dei Novanta,chiamami,18
Caparezza - Canthology,la,15
Caparezza - Canthology,get,11
Caparezza - Canzone a metà,a,22
Caparezza - Canzone a metà,metà,21
Caparezza - Canzone a metà,come,13
Caparezza - Canzone a metà,solo,13
Caparezza - Canzone a metà,la,16
Caparezza - Canzone a metà,di,27
Caparezza - Chi cazzo me lo,mi,29
Caparezza - Chi cazzo me lo,a,12
Caparezza - Chi cazzo me lo,cazzo,33
Caparezza - Chi cazzo me lo,io,19
Caparezza - Chi cazzo me lo,chiedo,18
Caparezza - Chi cazzo me lo,chi,32
Caparezza - Chi cazzo me lo,me,32
Caparezza - Chi cazzo me lo,lo,33
Caparezza - Chi cazzo me lo,fa,32
Caparezza - Chi cazzo me lo,fare,32
Caparezza - Chi Se Ne Frega Della Musica,e,12
Caparezza - Chi Se Ne Frega Della Musica,della,11
Caparezza - Chi Se Ne Frega Della Musica,musica,19
Caparezza - Chi Se Ne Frega Della Musica,di,39
Caparezza - Chi Se Ne Frega Della Musica,tutti,20
Caparezza - Chi Se Ne Frega Della Musica,questi,16
Caparezza - Chi Se Ne Frega Della Musica,le,11
Caparezza - Chi Se Ne Frega Della Musica,gli,13
Caparezza - Chi Se Ne Frega Della Musica,arrivisti,12
Caparezza - Chi Se Ne Frega Della Musica,non,16
Caparezza - Chi Se Ne Frega Della Musica,mi,18
Caparezza - Chi Se Ne Frega Della Musica,che,18
Caparezza - China Town,la,18
Caparezza - China Town,il,13
Caparezza - China Town,di,13
Caparezza - China Town,come,12
Caparezza - China Town,a,14
Caparezza - China Town,un,18
Caparezza - Come Pripyat,il,14
Caparezza - Come Pripyat,a,11
Caparezza - Come Pripyat,come,19
Caparezza - Come Pripyat,pripyat,12
Caparezza - Compro horror,horror,12
Caparezza - Compro horror,lama,12
Caparezza - Compro horror,fama,12
Caparezza - Comunque dada,comunque,30
Caparezza - Comunque dada,vada,16
Caparezza - Comunque dada,dada,18
Caparezza - Confusianesimo,il,12
Caparezza - Contronatura,mi,23
Caparezza - Contronatura,tu,22
Caparezza - Cose Che Non Capisco,di,14
Caparezza - Cose Che Non Capisco,e,11
Caparezza - Cose Che Non Capisco,ti,17
Caparezza - Cose Che Non Capisco,fai,18
Caparezza - Cose Che Non Capisco,tu,15
Caparezza - Cose Che Non Capisco,troppi,16
Caparezza - Cose Che Non Capisco,problemi,16
Caparezza - Cose Che Non Capisco,michele,12
Caparezza - Cover,i,19
Caparezza - Cover,cover,13
Caparezza - Dagli all'untore,untore,15
Caparezza - Dagli all'untore,dagli,13
Caparezza - Dagli all'untore,all,13
Caparezza - Dagli all'untore,di,20
Caparezza - Dagli all'untore,ooooh,12
Caparezza - Dalla parte del toro,sono,14
Caparezza - Dalla parte del toro,il,11
Caparezza - Dalla parte del toro,toro,20
Caparezza - Dalla parte del toro,dalla,17
Caparezza - Dalla parte del toro,è,17
Caparezza - Dalla parte del toro,che,12
Caparezza - Dalla parte del toro,la,18
Caparezza - Dalla parte del toro,olè,18
Caparezza - Dalla parte del toro,parte,16
Caparezza - Dalla parte del toro,del,18
Caparezza - Dindalè dindalò,in,16
Caparezza - Dindalè dindalò,un,11
Caparezza - Dindalè dindalò,come,13
Caparezza - Dindalè dindalò,dindalè,16
Caparezza - Dindalè dindalò,dindalò,16
Caparezza - Dindalè dindalò,meghini,32
Caparezza - Dindalè dindalò,nasalucolooo,16
Caparezza - Dualismi,tu,13
Caparezza - Dualismi,in,19
Caparezza - Dualismi,mi,11
Caparezza - Dualismi,io,12
Caparezza - E' tardi (feat. Michael Franti),tardi,30
Caparezza - E' tardi (feat. Michael Franti),a,14
Caparezza - E' tardi (feat. Michael Franti),non,11
Caparezza - E' tardi (feat. Michael Franti),è,21
Caparezza - E' tardi (feat. Michael Franti),per,21
Caparezza - E' tardi (feat. Michael Franti),i,41
Caparezza - E' tardi (feat. Michael Franti),ma,11
Caparezza - E' tardi (feat. Michael Franti),troppo,15
Caparezza - E' tardi (feat. Michael Franti),it,14
Caparezza - E' tardi (feat. Michael Franti),s,13
Caparezza - E' tardi (feat. Michael Franti),but,13
Caparezza - E' tardi (feat. Michael Franti),won,12
Caparezza - E' tardi (feat. Michael Franti),t,22
Caparezza - E' tardi (feat. Michael Franti),stop,17
Caparezza - E' tardi (feat. Michael Franti),the,14
Caparezza - El Sendero,camina,20
Caparezza - El Sendero,y,13
Caparezza - El Sendero,la,21
